document_id,clean_text,sentiment
1,find and verify leaked credentials in your source code,negative
2,an infographics generator with 40 plugins and 300 options to display stats about your github account,neutral
3,create read update delete merge validate and do more with yaml,neutral
4,super linter is a ready to run collection of linters and code analyzers to help validate your source code,positive
5,support amlogic rockchip and allwinner boxes,neutral
6,runs the gosec security checker,neutral
7,checkout a git repository at a particular version,neutral
8,replaces lame commit messages with meaningful ai generated messages when you push to remote,neutral
9,general purpose claude agent for github prs and issues can answer questions and implement code changes,negative
10,executing remote ssh commands,neutral
11,scan react codebases for security performance and correctness issues,negative
12,generates a snake game from a github user contributions grid output the animation as gif or svg,neutral
13,github action for creating github releases,neutral
14,automated ai localization for dev teams,positive
15,cache artifacts like dependencies and build outputs to improve workflow execution time,positive
16,github actions for github pages deploy static files and publish your site easily static site generators friendly,positive
17,build and push docker images with buildx,neutral
18,build armbian linux,neutral
19,run simple scripts using the github client,positive
20,manage terraform collaboration,neutral
21,automate deploying websites and more with this github action via ftp and ftps,positive
22,setup a node js environment by adding problem matchers and optionally downloading and adding it to the path,negative
23,this action will handle the deployment process of your project to github pages,neutral
24,a code review action powered by chatgpt,neutral
25,upload a build artifact that can be used by subsequent workflow steps,neutral
26,are you an early or a night when are you most productive during the day let s check out in your readme,neutral
27,run typos to check spelling in github actions,neutral
28,drafts your next release notes as pull requests are merged into master,neutral
29,run ansible lint,neutral
30,generate python data models from schema definitions openapi json schema graphql and more,neutral
31,converts jupyter notebooks and word docs into jekyll blog posts,neutral
32,debug your github actions environment interactively by using ssh or a web shell,neutral
33,generate profile summary cards and commit to default branch,neutral
34,allows you to show your latest blog posts on your github profile or project readme,neutral
35,github action for php,neutral
36,execute your workflow steps only if relevant files are modified,neutral
37,configures aws credentials for use in subsequent steps in a github action workflow,neutral
38,runs wemake python styleguide as a github action,neutral
39,support amlogic rockchip and allwinner boxes,neutral
40,run various git history analyses with src d hercules,neutral
41,creates a pull request for changes to your repository in the actions workspace,neutral
42,get all added copied modified deleted renamed type changed unmerged and unknown files,neutral
43,setup your runner with flutter environment,neutral
44,install the latest version of cargo binstall tool,neutral
45,automatically commits files which have been changed during the workflow run and push changes back to remote repository,positive
46,combine all available linters to automatically validate your sources without configuration,positive
47,automatically label new pull requests based on the paths of files being changed,positive
48,reviews the staged files with a gpt model from openai,neutral
49,automated releases based on conventional commits,positive
50,jd is a utility for diffing and patching json and yaml values it also supports json merge patch and a subset of json patch,neutral
51,set up a specific version of python and add the command line tools to the path,neutral
52,ai based pr reviewer summarizer with chat capabilities,neutral
53,scans a url for public javascript library vulnerabilities,negative
54,automated localization infrastructure,positive
55,set up a specific version of the java jdk and add the command line tools to the path,neutral
56,invoke the gemini cli from a github action,neutral
57,downloads installs and configures a google cloud sdk environment adds the gcloud cli command to the path,neutral
58,run step ci workflows,neutral
59,install mkosi,neutral
60,download a build artifact that was previously uploaded in the workflow by the upload artifact action,neutral
61,wakatime coding activity graph in your profile readme,neutral
62,deploy your cloudflare projects from github using wrangler,neutral
63,a github action that implements smart caching for rust cargo projects with sensible defaults,positive
64,simon s improved layout engine,positive
65,tooling for graphql compare schemas find breaking changes find similar types,neutral
